collection_id,collection_name,holder_count,gn_community_id,gn_community_size,total_connections,intra_community_connections,inter_community_connections,gn_community_cohesion_score,gn_bridge_score,intra_community_weight,inter_community_weight
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,1,38,46,37,9,0.8043478260869565,0.1956521739130435,35.910046696584594,4.3221061722695095
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,1,38,45,36,9,0.8,0.2,28.298262693237593,4.711555355205794
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,1,38,46,37,9,0.8043478260869565,0.1956521739130435,31.418862420021707,7.736169471818415
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,1,38,46,37,9,0.8043478260869565,0.1956521739130435,29.089018948648427,7.447135209536121
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,1,38,45,37,8,0.8222222222222222,0.17777777777777778,34.32065084619732,3.5827004937669873
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,1,38,46,37,9,0.8043478260869565,0.1956521739130435,32.360896142813225,2.197737679459499
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,1,38,45,37,8,0.8222222222222222,0.17777777777777778,33.65085627998779,3.2025923011092803
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,1,38,46,37,9,0.8043478260869565,0.1956521739130435,33.838546779002876,2.620642654802939
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,1,38,46,37,9,0.8043478260869565,0.1956521739130435,35.73682187111312,4.662835869553485
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,1,38,45,37,8,0.8222222222222222,0.17777777777777778,30.185477146469697,4.079434014629985
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,1,38,45,37,8,0.8222222222222222,0.17777777777777778,35.79031601373607,4.775041733687326
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,1,38,45,37,8,0.8222222222222222,0.17777777777777778,35.04675123783513,5.127508193178688
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,1,38,41,36,5,0.8780487804878049,0.12195121951219512,29.450515272797446,0.7541129764815193
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,1,38,45,37,8,0.8222222222222222,0.17777777777777778,31.58526914663836,3.64049979851558
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,1,38,44,35,9,0.7954545454545454,0.20454545454545456,17.969622896974656,3.0622017973604483
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,1,38,41,33,8,0.8048780487804879,0.1951219512195122,14.224633572484938,7.1397710241207655
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,1,38,42,36,6,0.8571428571428571,0.14285714285714285,29.09377731649012,1.3562580111220843
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,1,38,45,37,8,0.8222222222222222,0.17777777777777778,28.641391300888742,1.2827238216746217
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,1,38,42,35,7,0.8333333333333334,0.16666666666666666,24.53933246507563,1.3387114473740367
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,2,1,32,0,32,0.0,1.0,0.0,21.051290609403598
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,3,1,40,0,40,0.0,1.0,0.0,19.08559380576821
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,4,1,37,0,37,0.0,1.0,0.0,15.500178085285834
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,5,1,32,0,32,0.0,1.0,0.0,13.261779460423993
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,6,1,2,0,2,0.0,1.0,0.0,0.10620414599885078
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,7,1,42,0,42,0.0,1.0,0.0,20.014067804838465
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,8,1,34,0,34,0.0,1.0,0.0,19.237126654255057
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,9,1,32,0,32,0.0,1.0,0.0,14.970984518081146
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,10,1,39,0,39,0.0,1.0,0.0,17.72166684763635
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,11,1,36,0,36,0.0,1.0,0.0,14.71226415867638
